District,Date,PCPO,OLP,NDP,GPO
Waterloo,2024-05-01,32%,20%,35%,7%
Waterloo,2024-09-01,32%,20%,35%,7%
Waterloo,2025-01-01,32%,21%,34%,7%
Waterloo,2025-05-01,32%,21%,34%,7%
Waterloo,2022-04-30,33%,20%,34%,7%
Waterloo,2022-04-30,33%,20%,34%,7%
Waterloo,2022-05-03,33%,20%,34%,7%
Waterloo,2022-05-03,33%,20%,33%,7%
Waterloo,2022-05-04,33%,19%,34%,7%
Waterloo,2022-05-04,32%,20%,34%,7%
Waterloo,2022-05-05,33%,19%,34%,7%
Waterloo,2022-05-05,33%,19%,34%,7%
Waterloo,2022-05-06,32%,18%,33%,9%
Waterloo,2022-05-06,31%,18%,34%,10%
Waterloo,2022-05-07,31%,18%,34%,10%
Waterloo,2022-05-07,31%,18%,34%,10%
Waterloo,2022-05-08,32%,18%,34%,10%
Waterloo,2022-05-08,32%,18%,34%,10%
Waterloo,2022-05-09,31%,18%,33%,10%
Waterloo,2022-05-09,31%,18%,33%,10%
Waterloo,2022-05-10,31%,17%,34%,10%
Waterloo,2022-05-10,32%,17%,33%,10%
Waterloo,2022-05-11,32%,17%,33%,10%
Waterloo,2022-05-11,32%,15%,36%,8%
Waterloo,2022-05-12,33%,15%,36%,8%
Waterloo,2022-05-12,33%,15%,36%,8%
Waterloo,2022-05-13,29%,14%,46%,7%
Waterloo,2022-05-13,29%,14%,46%,7%
Waterloo,2022-05-14,29%,15%,44%,8%
Waterloo,2022-05-14,29%,15%,43%,8%
Waterloo,2022-05-15,29%,15%,43%,8%
Waterloo,2022-05-15,29%,14%,44%,8%
Waterloo,2022-05-16,25%,14%,46%,10%
Waterloo,2022-05-16,26%,14%,46%,10%
Waterloo,2022-05-17,27%,14%,46%,9%
Waterloo,2022-05-17,27%,14%,45%,9%
Waterloo,2022-05-18,25%,15%,47%,9%
Waterloo,2022-05-18,26%,14%,46%,9%
Waterloo,2022-05-19,28%,14%,45%,9%
Waterloo,2022-05-19,28%,15%,45%,9%
Waterloo,2022-05-20,28%,15%,45%,9%
Waterloo,2022-05-20,27%,19%,41%,9%
Waterloo,2022-05-21,28%,19%,39%,10%
Waterloo,2022-05-21,29%,18%,41%,9%
Waterloo,2022-05-22,29%,18%,40%,10%
Waterloo,2022-05-22,30%,17%,40%,10%
Waterloo,2022-05-23,31%,17%,38%,10%
Waterloo,2022-05-23,30%,17%,39%,10%
Ottawa West Nepean,2022-05-01,35%,24%,34%,5%
Ottawa West Nepean,2022-09-01,31%,40%,21%,2%
Ottawa West Nepean,2023-01-01,30%,40%,22%,2%
Ottawa West Nepean,2023-05-01,31%,37%,25%,2%
Ottawa West Nepean,2023-09-01,31%,37%,24%,2%
Ottawa West Nepean,2024-01-01,31%,37%,24%,2%
Ottawa West Nepean,2024-05-01,31%,37%,25%,2%
Ottawa West Nepean,2024-09-01,30%,38%,25%,2%
Ottawa West Nepean,2025-01-01,30%,38%,24%,2%
Ottawa West Nepean,2025-05-01,30%,34%,28%,3%
Ottawa West Nepean,2022-04-30,31%,33%,28%,3%
Ottawa West Nepean,2022-04-30,32%,33%,28%,3%
Ottawa West Nepean,2022-05-03,32%,33%,28%,3%
Ottawa West Nepean,2022-05-03,32%,33%,28%,3%
Ottawa West Nepean,2022-05-04,33%,33%,28%,3%
Ottawa West Nepean,2022-05-04,32%,34%,28%,3%
Ottawa West Nepean,2022-05-05,32%,35%,27%,3%
Ottawa West Nepean,2022-05-05,32%,34%,27%,3%
Ottawa West Nepean,2022-05-06,32%,34%,27%,4%
Ottawa West Nepean,2022-05-06,32%,33%,28%,4%
Ottawa West Nepean,2022-05-07,32%,33%,28%,4%
Ottawa West Nepean,2022-05-07,31%,33%,28%,4%
Ottawa West Nepean,2022-05-08,32%,33%,27%,4%
Ottawa West Nepean,2022-05-08,32%,33%,27%,4%
Ottawa West Nepean,2022-05-09,32%,33%,27%,4%
Ottawa West Nepean,2022-05-09,32%,33%,27%,4%
Ottawa West Nepean,2022-05-10,32%,33%,27%,4%
Ottawa West Nepean,2022-05-10,33%,33%,26%,4%
Ottawa West Nepean,2022-05-11,33%,33%,26%,4%
Ottawa West Nepean,2022-05-11,33%,33%,26%,4%
Ottawa West Nepean,2022-05-12,33%,33%,26%,4%
Ottawa West Nepean,2022-05-12,33%,33%,25%,4%
Ottawa West Nepean,2022-05-13,35%,23%,37%,4%
Ottawa West Nepean,2022-05-13,34%,23%,37%,4%
Ottawa West Nepean,2022-05-14,35%,24%,35%,5%
Ottawa West Nepean,2022-05-14,35%,24%,35%,4%
Ottawa West Nepean,2022-05-15,35%,24%,35%,4%
Ottawa West Nepean,2022-05-15,35%,24%,36%,4%
Ottawa West Nepean,2022-05-16,31%,23%,38%,6%
Ottawa West Nepean,2022-05-16,31%,24%,38%,6%
Ottawa West Nepean,2022-05-17,32%,23%,37%,5%
Ottawa West Nepean,2022-05-17,33%,24%,37%,5%
Ottawa West Nepean,2022-05-18,30%,24%,38%,5%
Ottawa West Nepean,2022-05-18,32%,23%,38%,5%
Ottawa West Nepean,2022-05-19,34%,23%,37%,5%
Ottawa West Nepean,2022-05-19,33%,24%,36%,5%
Ottawa West Nepean,2022-05-20,33%,25%,36%,5%
Ottawa West Nepean,2022-05-20,31%,28%,35%,5%
Ottawa West Nepean,2022-05-21,33%,27%,34%,5%
Ottawa West Nepean,2022-05-21,33%,25%,35%,5%
Ottawa West Nepean,2022-05-22,34%,25%,35%,5%
Ottawa West Nepean,2022-05-22,35%,24%,35%,5%
Ottawa West Nepean,2022-05-23,36%,24%,33%,5%
Ottawa West Nepean,2022-05-23,35%,24%,34%,5%
Ottawa Centre,2022-05-01,16%,24%,51%,7%
Ottawa Centre,2022-09-01,16%,48%,28%,3%
Ottawa Centre,2023-01-01,15%,44%,33%,2%
Ottawa Centre,2023-05-01,15%,41%,36%,2%
Ottawa Centre,2023-09-01,15%,41%,36%,2%
Ottawa Centre,2024-01-01,15%,40%,37%,2%
Ottawa Centre,2024-05-01,15%,40%,37%,2%
Ottawa Centre,2024-09-01,15%,40%,37%,2%
Ottawa Centre,2025-01-01,15%,41%,37%,2%
Ottawa Centre,2025-05-01,13%,41%,39%,2%
Ottawa Centre,2022-04-30,13%,40%,39%,2%
Ottawa Centre,2022-04-30,13%,40%,39%,2%
Ottawa Centre,2022-05-03,14%,40%,39%,2%
Ottawa Centre,2022-05-03,14%,40%,39%,2%
Ottawa Centre,2022-05-04,14%,40%,39%,2%
Ottawa Centre,2022-05-04,13%,40%,39%,2%
Ottawa Centre,2022-05-05,13%,41%,38%,3%
Ottawa Centre,2022-05-05,13%,41%,38%,3%
Ottawa Centre,2022-05-06,13%,40%,38%,3%
Ottawa Centre,2022-05-06,13%,40%,38%,4%
Ottawa Centre,2022-05-07,13%,40%,38%,4%
Ottawa Centre,2022-05-07,13%,40%,38%,4%
Ottawa Centre,2022-05-08,14%,39%,39%,4%
Ottawa Centre,2022-05-08,14%,39%,38%,4%
Ottawa Centre,2022-05-09,14%,39%,38%,4%
Ottawa Centre,2022-05-09,14%,39%,38%,4%
Ottawa Centre,2022-05-10,14%,35%,40%,4%
Ottawa Centre,2022-05-10,15%,36%,39%,4%
Ottawa Centre,2022-05-11,15%,36%,39%,4%
Ottawa Centre,2022-05-11,15%,36%,39%,4%
Ottawa Centre,2022-05-12,15%,36%,39%,4%
Ottawa Centre,2022-05-12,16%,36%,38%,4%
Ottawa Centre,2022-05-13,16%,22%,54%,5%
Ottawa Centre,2022-05-13,15%,22%,55%,5%
Ottawa Centre,2022-05-14,16%,24%,52%,6%
Ottawa Centre,2022-05-14,16%,24%,52%,6%
Ottawa Centre,2022-05-15,16%,24%,52%,5%
Ottawa Centre,2022-05-15,16%,23%,53%,5%
Ottawa Centre,2022-05-16,13%,23%,54%,7%
Ottawa Centre,2022-05-16,13%,23%,54%,7%
Ottawa Centre,2022-05-17,14%,23%,54%,7%
Ottawa Centre,2022-05-17,14%,23%,54%,7%
Ottawa Centre,2022-05-18,13%,24%,54%,6%
Ottawa Centre,2022-05-18,14%,23%,54%,6%
Ottawa Centre,2022-05-19,15%,22%,54%,6%
Ottawa Centre,2022-05-19,14%,24%,53%,6%
Ottawa Centre,2022-05-20,14%,25%,52%,6%
Ottawa Centre,2022-05-20,14%,27%,51%,6%
Ottawa Centre,2022-05-21,15%,26%,50%,7%
Ottawa Centre,2022-05-21,15%,25%,51%,6%
Ottawa Centre,2022-05-22,15%,25%,51%,6%
Ottawa Centre,2022-05-22,16%,24%,51%,7%
Ottawa Centre,2022-05-23,17%,24%,50%,7%
Ottawa Centre,2022-05-23,16%,24%,51%,7%
Scarborough Southwest,2022-05-01,28%,21%,43%,5%
Scarborough Southwest,2022-09-01,29%,29%,33%,4%
Scarborough Southwest,2023-01-01,28%,29%,34%,4%
Scarborough Southwest,2023-05-01,29%,29%,33%,4%
Scarborough Southwest,2023-09-01,29%,29%,33%,4%
Scarborough Southwest,2024-01-01,29%,29%,33%,4%
Scarborough Southwest,2024-05-01,29%,29%,33%,4%
Scarborough Southwest,2024-09-01,29%,29%,33%,4%
Scarborough Southwest,2025-01-01,29%,30%,33%,4%
Scarborough Southwest,2025-05-01,28%,31%,32%,3%
Scarborough Southwest,2022-04-30,29%,29%,33%,4%
Scarborough Southwest,2022-04-30,29%,29%,32%,4%
Scarborough Southwest,2022-05-03,30%,29%,32%,4%
Scarborough Southwest,2022-05-03,29%,29%,32%,3%
Scarborough Southwest,2022-05-04,30%,29%,32%,3%
Scarborough Southwest,2022-05-04,29%,30%,32%,3%
Scarborough Southwest,2022-05-05,29%,31%,30%,4%
Scarborough Southwest,2022-05-05,29%,31%,30%,4%
Scarborough Southwest,2022-05-06,29%,30%,29%,5%
Scarborough Southwest,2022-05-06,28%,30%,31%,5%
Scarborough Southwest,2022-05-07,28%,30%,31%,5%
Scarborough Southwest,2022-05-07,28%,30%,31%,5%
Scarborough Southwest,2022-05-08,29%,30%,30%,5%
Scarborough Southwest,2022-05-08,28%,30%,30%,5%
Scarborough Southwest,2022-05-09,28%,30%,30%,5%
Scarborough Southwest,2022-05-09,28%,29%,30%,5%
Scarborough Southwest,2022-05-10,29%,29%,30%,5%
Scarborough Southwest,2022-05-10,29%,29%,29%,5%
Scarborough Southwest,2022-05-11,29%,29%,29%,5%
Scarborough Southwest,2022-05-11,29%,29%,29%,5%
Scarborough Southwest,2022-05-12,30%,29%,29%,5%
Scarborough Southwest,2022-05-12,31%,27%,31%,5%
Scarborough Southwest,2022-05-13,28%,19%,47%,4%
Scarborough Southwest,2022-05-13,28%,19%,48%,4%
Scarborough Southwest,2022-05-14,28%,20%,45%,4%
Scarborough Southwest,2022-05-14,28%,20%,45%,4%
Scarborough Southwest,2022-05-15,28%,20%,45%,4%
Scarborough Southwest,2022-05-15,28%,20%,46%,4%
Scarborough Southwest,2022-05-16,25%,19%,48%,5%
Scarborough Southwest,2022-05-16,25%,19%,48%,5%
Scarborough Southwest,2022-05-17,26%,19%,47%,5%
Scarborough Southwest,2022-05-17,26%,20%,47%,5%
Scarborough Southwest,2022-05-18,24%,20%,48%,5%
Scarborough Southwest,2022-05-18,25%,19%,48%,5%
Scarborough Southwest,2022-05-19,27%,19%,47%,5%
Scarborough Southwest,2022-05-19,27%,20%,46%,5%
Scarborough Southwest,2022-05-20,27%,21%,46%,5%
Scarborough Southwest,2022-05-20,25%,24%,44%,5%
Scarborough Southwest,2022-05-21,26%,24%,43%,5%
Scarborough Southwest,2022-05-21,26%,22%,44%,5%
Scarborough Southwest,2022-05-22,27%,22%,44%,5%
Scarborough Southwest,2022-05-22,28%,21%,44%,5%
Scarborough Southwest,2022-05-23,29%,21%,42%,5%
Scarborough Southwest,2022-05-23,28%,21%,43%,5%
